ticker,bar_et,scan_key,mode,setup_tags,pass_score,close,pre_clv,post_clv,mf_z,vol_spike,rvol_slot,session_rvol,vwap,dist_vwap_pct,atr_expand,rs_qqq_20,rs_open_qqq,rs_sec_20,wick_ratio,body_ratio,daily_uptrend,daily_ema_stack,intra_uptrend,above_vwap,breakout,orb_break,vwap_reclaim,pmh_break,first_pullback,squeeze_release,sector
MU,2026-05-01 09:30,MU|2026-05-01 09:30,SQUEEZE_POP,SQ,18.867,541.638,0.2652,0.2702,4.347,3.899,1.268,1.271,531.162,1.97,3.555,0.0335,0.0583,0.03,0.0,0.95,True,True,True,True,False,False,False,False,False,True,SEMIS
TIGO,2026-05-01 09:30,TIGO|2026-05-01 09:30,CONTINUATION,NR7,12.41,85.0,0.3117,0.4531,2.403,1.687,1.021,1.008,84.6133,0.46,2.813,0.0102,0.0014,0.0,0.047,0.094,True,True,True,True,False,False,False,False,False,False,UNKNOWN
SANM,2026-05-01 09:30,SANM|2026-05-01 09:30,SQUEEZE_POP,NR7,12.31,225.1,-0.2663,-0.0459,1.909,1.427,0.529,0.613,223.0567,0.92,2.258,0.0486,0.0273,0.0,0.046,0.886,True,True,True,True,False,False,False,False,False,False,UNKNOWN
IBKR,2026-04-30 16:00,IBKR|2026-04-30 16:00,CONTINUATION,1stPB,12.282,79.84,0.1066,0.0307,-0.258,0.555,3.385,0.881,79.1149,0.92,1.019,0.0329,0.0255,0.0,0.382,0.618,True,True,True,True,False,False,False,False,True,False,UNKNOWN
STRL,2026-05-01 09:30,STRL|2026-05-01 09:30,SQUEEZE_POP,NR7,11.745,525.795,0.4213,-0.0257,1.801,1.458,0.751,0.787,520.0712,1.1,2.916,0.0911,0.009,0.0,0.026,0.259,True,True,True,True,False,False,False,False,False,False,UNKNOWN
STT,2026-04-30 16:00,STT|2026-04-30 16:00,BOTH,1stPB,11.207,152.84,-0.0089,0.4925,0.107,0.363,6.678,1.236,152.7198,0.08,0.316,0.0038,0.0017,0.0,0.0,0.0,True,True,True,True,False,False,False,False,True,False,UNKNOWN
DELL,2026-04-30 16:00,DELL|2026-04-30 16:00,CONTINUATION,1stPB,10.686,208.5225,0.286,0.3475,-0.326,0.325,2.351,0.845,206.0356,1.21,0.518,0.0027,-0.013,0.0,0.0,0.45,True,True,True,True,False,False,False,False,True,False,UNKNOWN
ON,2026-05-01 09:30,ON|2026-05-01 09:30,SQUEEZE_POP,NR7,10.307,101.9,0.0605,-0.0393,1.701,1.353,0.505,0.497,101.1967,0.7,2.77,0.0078,0.01,0.0,0.039,0.441,True,True,True,True,False,False,False,False,False,False,UNKNOWN
EWBC,2026-05-01 09:30,EWBC|2026-05-01 09:30,SQUEEZE_POP,NR7,8.74,127.305,0.1386,0.0,1.169,0.828,0.583,0.646,126.58,0.57,3.584,0.0,0.0092,0.0,0.0,0.531,True,True,True,True,False,False,False,False,False,False,UNKNOWN
BMY,2026-05-01 09:30,BMY|2026-05-01 09:30,SQUEEZE_POP,NR7,8.624,58.49,0.1701,-0.7762,-1.259,1.594,2.018,2.128,58.8683,-0.64,3.187,-0.0161,-0.0255,0.0,0.032,0.745,False,True,False,False,False,False,False,False,False,False,UNKNOWN
BAC,2026-04-30 16:00,BAC|2026-04-30 16:00,CONTINUATION,1stPB,7.648,53.49,0.5429,-0.1714,0.058,0.27,1.347,0.695,53.3481,0.27,0.407,0.0029,0.0036,0.0,0.222,0.222,True,True,True,True,False,False,False,False,True,False,UNKNOWN
RF,2026-05-01 09:30,RF|2026-05-01 09:30,SQUEEZE_POP,NR7,6.657,28.485,0.1214,-0.2097,1.173,1.587,0.678,0.574,28.425,0.21,2.848,-0.0093,-0.0012,0.0,0.097,0.113,True,True,False,True,False,False,False,False,False,False,UNKNOWN
LUMN,2026-05-01 10:30,LUMN|2026-05-01 10:30,STRONG_CONT,1stPB,14.951,9.075,0.2667,0.796,1.634,1.394,1.493,1.032,8.9395,1.52,1.476,0.0303,0.0229,0,0.129,0.452,True,True,True,True,False,False,False,False,True,False,UNKNOWN
SPXC,2026-05-01 10:30,SPXC|2026-05-01 10:30,SQUEEZE_POP,"VWAP, NR7",14.757,212.72,0.1495,-0.1221,1.856,1.812,4.911,4.182,209.6295,1.47,1.924,-0.0092,0.0261,0,0.128,0.786,False,True,False,True,False,False,True,False,False,False,UNKNOWN
RELY,2026-05-01 10:30,RELY|2026-05-01 10:30,BOTH,1stPB,14.456,22.52,-0.0183,0.8205,1.069,1.492,1.533,0.84,22.3358,0.82,1.396,0.0224,0.0258,0,0.179,0.513,True,True,True,True,False,False,False,False,True,False,UNKNOWN
CRDO,2026-05-01 12:00,CRDO|2026-05-01 12:00,SQUEEZE_POP,"ORB, PMH, HH, NR7",16.219,179.5401,0.5057,0.4701,-0.294,3.567,3.424,0.605,176.8371,1.53,2.716,0.0142,0.0227,0,0.517,0.448,True,True,True,True,True,True,False,True,False,False,UNKNOWN
SPXC,2026-05-01 12:00,SPXC|2026-05-01 12:00,SQUEEZE_POP,NR7,7.879,206.825,-0.1509,-0.8737,-0.938,0.772,2.866,3.887,210.4577,-1.73,1.317,-0.0421,-0.003,0,0.236,0.737,False,True,False,False,False,False,False,False,False,False,UNKNOWN
CSTM,2026-05-01 13:30,CSTM|2026-05-01 13:30,CONTINUATION,1stPB,15.723,32.082,0.4141,-0.2631,1.666,2.067,3.481,1.419,31.8926,0.59,1.369,-0.0044,0.0301,0,0.281,0.422,True,True,True,True,False,False,False,False,True,False,UNKNOWN
HPE,2026-05-01 13:00,HPE|2026-05-01 13:00,BOTH,1stPB,10.703,28.825,0.0309,0.7844,0.723,1.166,1.521,0.843,28.6899,0.47,0.788,-0.0016,-0.002,0,0.143,0.409,True,True,True,True,False,False,False,False,True,False,UNKNOWN
CLS,2026-05-01 15:00,CLS|2026-05-01 15:00,STRONG_REV,"ORB, HH, BOX",15.646,422.55,-0.3129,0.4943,-0.278,2.111,2.157,1.005,416.613,1.43,1.404,0.0553,0.0373,0,0.478,0.479,True,True,True,True,True,True,False,False,False,False,UNKNOWN
STM,2026-05-01 15:00,STM|2026-05-01 15:00,BOTH,HH,14.866,56.38,-0.0595,0.94,2.102,1.946,1.686,0.538,55.7204,1.18,1.22,0.0184,0.0291,0,0.041,0.816,True,True,True,True,True,False,False,False,False,False,UNKNOWN
RELY,2026-05-01 15:00,RELY|2026-05-01 15:00,STRONG_CONT,BOX,14.132,22.59,0.5194,0.5802,2.561,1.813,1.026,0.722,22.445,0.65,1.15,0.0122,0.0259,0,0.147,0.824,True,True,True,True,True,False,False,False,False,False,UNKNOWN
DY,2026-05-01 14:30,DY|2026-05-01 14:30,CONTINUATION,"VWAP, 1stPB",12.907,423.51,0.7592,0.0539,1.639,1.558,1.952,1.054,422.7626,0.18,1.4,-0.0127,0.0194,0,0.0,0.156,True,True,True,True,False,False,True,False,True,False,UNKNOWN
LUMN,2026-05-01 15:00,LUMN|2026-05-01 15:00,CONTINUATION,1stPB,11.364,9.345,0.0064,-0.0342,0.903,1.046,0.779,1.038,9.1889,1.7,0.737,0.0362,0.0503,0,0.111,0.722,True,True,True,True,False,False,False,False,True,False,UNKNOWN
